PROMPT, INTENT
"When can I visit Brighton?","opening"
"What time does York open?","opening"
"Are you open during lunch hours?","opening"
"What are your weekday hours?","opening"
"Tell me opening times","opening"
"I'd like to order a book","order"
"Can I order a book?","order"
"I want to buy a book","order"
"How do I place an order?","order"
"I'd like to order The Hobbit","order"
"Can I order Dune?","order"
"I want to order 1984","order"
"I'd like to purchase Pride and Prejudice","order"
"Can I get a copy of Sapiens?","order"
"I want to order The Great Gatsby","order"
"Can I order The Midnight Library?","order"
"I'd like to order American Gods","order"
"Can I buy The Silent Patient?","order"
"I want to order It Ends with Us","order"
"Order me The Book Thief","order"
"Can I order The Handmaid's Tale?","order"
"I'd like to get a copy of Foundation","order"
"Can I order Brave New World?","order"
"I want to buy The Name of the Wind","order"
"Order The Lord of the Rings for me","order"
"Can I order Neuromancer?","order"
"I'd like to order The Catcher in the Rye","order"
"Can I get To Kill a Mockingbird?","order"
"I want to order The 3 Body Problem","order"
"Can I order Educated?","order"
"I'd like to purchase The Seven Husbands of Evelyn Hugo","order"
"Can I order Atomic Habits?","order"
"I want to order a copy of The Hobbit from London","order"
"Can I order Dune for pickup at Manchester?","order"
"I'd like to order 1984 for delivery to Oxford","order"
"Can I get Pride and Prejudice from the Cambridge store?","order"
"I want to order multiple copies of Sapiens","order"
"Can I order The Great Gatsby in bulk?","order"
"I'd like to place an order for two books","order"
"How much is The Midnight Library?","order"
"What's the price of American Gods?","order"
"How much do I need to spend for The Silent Patient?","order"
"Can you tell me the cost of It Ends with Us?","order"
"What's the price of The Book Thief?","order"
"How much is The Handmaid's Tale?","order"
"Can I order and pick up the same day?","order"
"I want to order a book for delivery","order"
"Can I schedule a pickup time?","order"
"I'd like to order online","order"
"Do you have The Hobbit in stock?","order"
"Is Dune available?","order"
"Do you stock 1984?","order"
"Can I check stock for Pride and Prejudice?","order"
"Is The Midnight Library available at the Bristol store?","order"
"Do you have Sapiens in stock?","order"
"I'm looking to order a book","order"
"Place an order for me please","order"
"I'd like to buy something","order"
"Can I order from you?","order"
"What books can I order?","order"
"Show me available books to order","order"
"I want to start an order","order"
"Can I order online and pick up in store?","order"
"I'd like to order a book for someone else","order"
"Can I gift order a book?","order"
"purchase a book","order"
"buy The Alchemist","order"
"get me a copy of The Kite Runner","order"
"order Harry Potter","order"
"I need to buy The Da Vinci Code","order"
"purchase Twilight for me","order"
"I want The Hunger Games","order"
"buy me Gone Girl","order"
"get The Girl on the Train","order"
"order The Fault in Our Stars","order"
"I'd like to purchase Divergent","order"
"can I buy The Martian?","order"
"get me Ready Player One","order"
"purchase The Road","order"
"I want to buy Life of Pi","order"
"order Slaughterhouse-Five","order"
"buy Catch-22","order"
"I need A Clockwork Orange","order"
"get me Fahrenheit 451","order"
"purchase The Bell Jar","order"
"Where is my order?","check"
"Can I check my order status?","check"
"What's the status of my order?","check"
"When will my order arrive?","check"
"Has my order been shipped?","check"
"Can I track my order?","check"
"What's the tracking number for my order?","check"
"How do I check my existing orders?","check"
"Can you tell me about my recent orders?","check"
"What orders have I placed?","check"
"Show me my order history","check"
"Can I view my past orders?","check"
"How many orders do I have?","check"
"When was my last order?","check"
"Can I cancel my order?","check"
"I want to modify my order","check"
"Can I change my delivery address?","check"
"Can I reschedule my pickup?","check"
"What's the estimated delivery date?","check"
"Is my order still being processed?","check"
"Has my order been confirmed?","check"
"Can I see my order details?","check"
"What's included in my order?","check"
"Can I add items to my existing order?","check"
"Can I remove items from my order?","check"
"Is my order ready for pickup?","check"
"When can I pick up my order?","check"
"Has my order been prepared?","check"
"Is my order still available?","check"
"Can I check the status of my book order?","check"
"Where's the order I placed last week?","check"
"Can you give me an update on my order?","check"
"I placed an order earlier, where is it?","check"
"Can I view all my orders?","check"
"What's the order number?","check"
"Can I look up an order by number?","check"
"Show me orders from this month","check"
"List all my orders","check"
"Show my order history","check"
"What books have I ordered?","check"
"Display my purchases","check"
"View my order list","check"
"Check orders under my name","check"
"What have I bought?","check"
"Show me everything I ordered","check"
"List orders for my account","check"
"See my previous orders","check"
"Can I see orders from the last 30 days?","check"
"I need to check an old order","check"
"Can I get a receipt for my order?","check"
"Can I reorder the same books?","check"
"Can I see what I ordered before?","check"
"Do you have a record of my orders?","check"
"Can I access my order information?","check"
"What's the status of the order I placed?","check"
"Can I check if my order has been dispatched?","check"
"When was my order confirmed?","check"
"Can I see the estimated delivery window?","check"
"Is there any update on my order?","check"
"Can I track the delivery?","check"
"Has the courier picked up my order?","check"
"Can I get order confirmation details?","check"
"Show me pending orders","check"
"Does the London store have a cafe?","facilities"
"Is there a cafe at the Manchester location?","facilities"
"Do you have a cafe?","facilities"
"Which stores have a cafe?","facilities"
"Does Birmingham have a cafe?","facilities"
"Is there food available at your stores?","facilities"
"Can I get coffee while shopping?","facilities"
"Do you offer refreshments?","facilities"
"Are there cafes at all locations?","facilities"
"Does the Edinburgh store have a cafe?","facilities"
"How many floors does the London store have?","facilities"
"What's the size of the Manchester location?","facilities"
"How many floors are there?","facilities"
"Does the store have multiple floors?","facilities"
"Is the Oxford store on multiple levels?","facilities"
"How many levels does the Cambridge store have?","facilities"
"What's the layout of the Bristol store?","facilities"
"Does the Liverpool location have multiple floors?","facilities"
"How many storeys is the London store?","facilities"
"Does Glasgow have a multi-floor location?","facilities"
"What facilities are available?","facilities"
"Do you have accessible facilities?","facilities"
"Do you offer parking?","facilities"
"What amenities do you have?","facilities"
"Is the store wheelchair accessible?","facilities"
"Do you have disabled access?","facilities"
"Are there rest areas?","facilities"
"What's available at the Belfast store?","facilities"
"Does the Dublin location have a cafe?","facilities"
"How many floors at the York store?","facilities"
"Is there a cafe at Bath?","facilities"
"What facilities does the Sheffield store have?","facilities"
"Does Newcastle have refreshments available?","facilities"
"Is there a cafe at the Brighton store?","facilities"
"How many floors does the Leeds location have?","facilities"
"Does the Cardiff store have a cafe?","facilities"
"What about facilities at Portsmouth?","facilities"
"Are there multiple levels at Nottingham?","facilities"
"What's the address of the London store?","address"
"Where is the Manchester location?","address"
"Can you give me the address?","address"
"What's the address for the Birmingham store?","address"
"Where is the Edinburgh branch?","address"
"Can I get the Bristol store address?","address"
"What's the Oxford location address?","address"
"Where is the Cambridge store?","address"
"Can you tell me where you're located?","address"
"What's the address of your store?","address"
"Where can I find the nearest store?","address"
"Is there a store near me?","address"
"What's the address for the Leeds location?","address"
"Where is the Glasgow store?","address"
"Can I get directions to your store?","address"
"What's the postal code for the London store?","address"
"Where is the Bath location?","address"
"What's the address of the York store?","address"
"Where can I find the Liverpool branch?","address"
"Is there a store in Newcastle?","address"
"What's the address for Brighton?","address"
"Where is the Sheffield store located?","address"
"Can you give me the Belfast store address?","address"
"Where is the Dublin location?","address"
"What's the address for Portsmouth?","address"
"Where is the Nottingham store?","address"
"Can I get the store location?","address"
"What's the street address?","address"
"Where are you based?","address"
"Can I visit your store in person?","address"
"What's the full address with postcode?","address"
"Where would I find your store in the city?","address"
"Is the store in the city centre?","address"
"What area is the store located in?","address"
"Can you provide all store addresses?","address"
"Which locations do you have?","address"
"Show me store locations","address"
"What are all your store addresses?","address"
"Define what a novel is","question"
"Explain what a short story is","question"
"What does 'genre' mean in books?","question"
"What is science fiction about?","question"
"What defines fantasy fiction?","question"
"What makes literary fiction different?","question"
"What is historical fiction?","question"
"What is magical realism?","question"
"What is dystopian fiction?","question"
"What is a memoir?","question"
"How does a biography differ from an autobiography?","question"
"What is an ISBN used for?","question"
"What counts as an edition of a book?","question"
"What does a publisher do?","question"
"What is self-publishing?","question"
"What is an imprint at a publishing house?","question"
"What does book editing involve?","question"
"What is copyediting?","question"
"Explain developmental editing","question"
"What is proofreading for books?","question"
"What is a bestseller?","question"
"Who is a literary agent and what do they do?","question"
"What is a query letter?","question"
"What are author royalties?","question"
"What is an advance payment to an author?","question"
"What is a proof copy?","question"
"What is book metadata?","question"
"What are common book formats?","question"
"What is an omnibus edition?","question"
"What is an annotated edition?","question"
"What is a blurb on a book jacket?","question"
"What is a foreword?","question"
"What is an afterword?","question"
"What is a dedication in a book?","question"
"What are subgenres and examples?","question"
"What is worldbuilding?","question"
"What is point of view in storytelling?","question"
"What is an unreliable narrator?","question"
"What is stream of consciousness?","question"
"Define theme in literature","question"
"Explain plot in a novel","question"
"What is character development?","question"
"What is pacing in fiction?","question"
"What is tone in writing?","question"
"What is style in prose?","question"
"What is foreshadowing?","question"
"What is a plot twist?","question"
"What is a cliffhanger?","question"
"What is a Bildungsroman?","question"
"What is an epigraph used for?","question"
"What is intertextuality?","question"
"What is metafiction?","question"
"What is bibliotherapy?","question"
"What is an unreliable timeline in a story?","question"
"What is a cold read vs a hot read in submissions?","question"
"What is an upmarket book?","question"
"What is a backlist?","question"
"How do e-books differ from audiobooks?","question"
"What are common audiobook narration features?","question"
"How can I find books by theme instead of author?","question"
"What are good sources for book reviews?","question"
"Where can I legally download public-domain books?","question"
"How to check if a translation is high quality?","question"
"What are reputable translation presses?","question"
"How to discover translated works from underrepresented languages?","question"
"What is a reading challenge?","question"
"How to build a monthly reading list?","question"
"How can I find book recommendations for grief?","question"
"What should I read to learn narrative structure?","question"
"Which books teach dialogue craft?","question"
"Which books are recommended for pacing techniques?","question"
"What are essential books on writing craft?","question"
"How to sample an author's style quickly?","question"
"How do I choose between editions of a classic?","question"
"How to find signed first editions to buy?","question"
"How to verify authenticity of signed books?","question"
"Where to find out-of-print books?","question"
"How do independent bookstores select staff picks?","question"
"How to keep a book club engaging?","question"
"What are good book club discussion questions?","question"
"How to find local author events and readings?","question"
"How to join international book festivals?","question"
"What are good ways to support a local library?","question"
"What are safe ways to read trigger-heavy books?","question"
"How to check if a book is age-appropriate?","question"
"What reading formats help people with dyslexia?","question"
"How to find books with accurate technical detail?","question"
"How to judge a memoir's reliability?","question"
"How to ethically quote short passages on a blog?","question"
"How to identify misleading blurbs?","question"
"What are common tropes in romance novels?","question"
"Which tropes are often avoided for consent reasons?","question"
"How to find debut novelists likely to succeed?","question"
"How to discover tiny presses publishing innovative short books?","question"
"How to find books about bookstores or libraries?","question"
"How to find books paired with travel itineraries?","question"
"What are good gateway speculative fiction books?","question"
"Which awards should I watch to discover fiction?","question"
"Which nonfiction writers tell stories engagingly?","question"
"How to find graphic novels for beginners?","question"
"How to discover niche-topic books?","question"
"What are best resources for scholarly criticism on a novel?","question"
"How to keep track of books I’ve read (simple methods)?","question"
"Where to find curated lists for subgenres like cozy fantasy?","question"
"How to choose a book based on reviews vs awards?","question"
"How to prioritize diverse reading without overwhelm?","question"
"What are good bookish gifts for avid readers?","question"
"How to find good audio-first books for commuting?","question"
"How to pick audiobook narrators you'll like?","question"
"How to find books that explore science and religion?","question"
"What are respectful ways to read books from other cultures?","question"
"How to find reliable historical fiction research quickly?","question"
"How to discover books banned or challenged and reasons?","question"
"Where to buy signed or author-signed editions online?","question"
"How to choose a reading order for a long fantasy series?","question"
"What are quick strategies to improve reading speed?","question"
"How can I sample multiple translated editions to compare quality?","question"
"How to find books about the book industry itself?","question"
"How to discover books with strong culinary descriptions?","question"
"How to find engaging nonfiction about current events?","question"
"What are practical ways to support diverse publishing other than buying?","question"
"How to find books that pair well with a themed meal or project?","question"
"How to assess if a book will match my taste from early signals?","question"
"How to find contemporary authors similar to Haruki Murakami?","question"
"How can I read more diverse voices via small steps?","question"
"How to find books with strong sense of place?","question"
"How to choose accessible editions for study vs pleasure?","question"
"How to find books that pair well with films?","question"
"How to discover debut short fiction collections?","question"
"How to find books with clever structural experiments?","question"
"How to locate curated lists for translated literature?","question"
"How to judge if a translation preserves cultural idioms?","question"
"How can I find books that explore climate fiction themes?","question"
"How to build a shortlist of books for a reading group on social issues?","question"
"Which resources list books with trigger warnings or content notes?","question"
"How to find book subscription boxes suited to my taste?","question"
"How to find books about the immigrant experience?","question"
"How to find novels that focus on mentorship dynamics?","question"
"How to discover books with strong courtroom drama?","question"
"How to locate short plays or novellas for public reading?","question"
"How to find books with unreliable child narrators?","question"
"lovely weather we're having","small"
"I feel upset that you don't understand me","small"
"I'd like to order 3 copies of Dune for pickup","order"
"sorry? I said how are you?","small"
"what are some books by Haruki Murakami","question"
"Can I order American goods","order"
"can I order american goods","order"
"recommend me a book","reccomend"
"can you recommend a book?","reccomend"
"I need a book recommendation","reccomend"
"suggest a book for me","reccomend"
"what books do you recommend?","reccomend"
"I'm looking for book suggestions","reccomend"
"recommend something to read","reccomend"
"what should I read?","reccomend"
"give me a book recommendation","reccomend"
"suggest a good book","reccomend"
"I need reading suggestions","reccomend"
"recommend a fantasy book","reccomend"
"can you suggest a mystery book?","reccomend"
"what fiction do you recommend?","reccomend"
"I want a book recommendation","reccomend"
"any book recommendations?","reccomend"
"what's a good book to read?","reccomend"
"help me find a book","reccomend"
"I don't know what to read","reccomend"
"suggest something good","reccomend"
"recommend a science fiction book","reccomend"
"suggest a thriller","reccomend"
"what romance novels do you recommend?","reccomend"
"recommend a non-fiction book","reccomend"
"suggest a historical fiction book","reccomend"
"what horror books do you have?","reccomend"
"recommend a biography","reccomend"
"suggest a self-help book","reccomend"
"what business books do you recommend?","reccomend"
"recommend something light and fun","reccomend"
"suggest a serious literary work","reccomend"
"what's trending right now?","reccomend"
"recommend a bestseller","reccomend"
"suggest a classic book","reccomend"
"what contemporary fiction do you have?","reccomend"
"recommend a young adult book","reccomend"
"suggest a children's book","reccomend"
"what award-winning books do you have?","reccomend"
"recommend something based on my interests","reccomend"
"I like thrillers, what do you suggest?","reccomend"
"if I enjoyed The Hobbit, what else?","reccomend"
"similar books to 1984?","reccomend"
"books like Pride and Prejudice?","reccomend"
"recommend something for beginners","reccomend"
"suggest an easy read","reccomend"
"what's popular this month?","reccomend"
"recommend your top picks","reccomend"
"check my orders please","check"
"check my orders please","check"
"What are my orders","check"
"check my order please","check"
"what are my orders","check"
"check my orders please","check"
"order Foundation","order"
"What are your locations?","locations"
"Where are you located?","locations"
"What locations do you have?","locations"
"Show me your locations","locations"
"List all locations","locations"
"Where can I find your stores?","locations"
"What stores do you have?","locations"
"Which cities are you in?","locations"
"Where are your bookstores?","locations"
"Do you have multiple locations?","locations"
"when are it's facilities","facilities"
"because I feel like he's neglecting me","small"
"I feel like he is neglecting me","small"
"what about for London","opening"
"how about it's address","address"
"is Foundation in stock at London?","stockCheck"
"check stock for Dune","stockCheck"
"do you have 1984 available?","stockCheck"
"is The Hobbit in stock?","stockCheck"
"check availability of Pride and Prejudice","stockCheck"
"where can I find Brave New World?","stockCheck"
"do you have Animal Farm at Manchester?","stockCheck"
"is Fahrenheit 451 available at Birmingham?","stockCheck"
"check if you have The Great Gatsby","stockCheck"
"which locations have To Kill a Mockingbird?","stockCheck"
"is Lord of the Flies in stock at Liverpool?","stockCheck"
"where is The Catcher in the Rye available?","stockCheck"
"do you stock Moby Dick?","stockCheck"
"check stock for Wuthering Heights at Leeds?","stockCheck"
"is Jane Eyre available?","stockCheck"
"which locations have Pride and Prejudice?","stockCheck"
"where can I get Frankenstein?","stockCheck"
"do you have Dracula in Oxford?","stockCheck"
"check if The Odyssey is in stock","stockCheck"
"is Hamlet available at Cambridge?","stockCheck"
"what locations stock War and Peace?","stockCheck"
"can I find Crime and Punishment at Bath?","stockCheck"
"is Anna Karenina in stock anywhere?","stockCheck"
"where do you have The Iliad?","stockCheck"
"check Ulysses availability","stockCheck"
"do you stock The Divine Comedy?","stockCheck"
"is Don Quixote available?","stockCheck"
"which stores have Middlemarch?","stockCheck"
"where is Emma available?","stockCheck"
"do you have Persuasion in Brighton?","stockCheck"
"is Sense and Sensibility in stock at Dublin?","stockCheck"
"check stock of Northanger Abbey","stockCheck"
"where can I buy Mansfield Park?","stockCheck"
"is The Great Gatsby in stock?","stockCheck"
"which locations have The Sun Also Rises?","stockCheck"
"can I check if Pride and Prejudice is in stock?","stockCheck"
"can I check if Foundation is available?","stockCheck"
"where is Educated available?","stockCheck"
"where is 1984 available at?","stockCheck"
"can I check stock for Dune?","stockCheck"
"where is The Hobbit stocked?","stockCheck"
"can you check if Animal Farm is available?","stockCheck"
"where is Brave New World stocked?","stockCheck"
"can I see if you have Fahrenheit 451?","stockCheck"
"where is The Great Gatsby stocked?","stockCheck"
"can I check if you stock To Kill a Mockingbird?","stockCheck"
"where is Lord of the Flies available?","stockCheck"
"can you tell me if The Catcher in the Rye is in stock?","stockCheck"
"where is Moby Dick stocked?","stockCheck"
"can I check if Wuthering Heights is available?","stockCheck"
"where is Jane Eyre stocked?","stockCheck"
"is Educated in stock in Nottingham?","stockCheck"
"is Foundation in stock in London?","stockCheck"
"is Dune in stock in Manchester?","stockCheck"
"is 1984 in stock in Birmingham?","stockCheck"
"is The Hobbit in stock in Bristol?","stockCheck"
"is Animal Farm in stock in Edinburgh?","stockCheck"
"is Brave New World in stock in Oxford?","stockCheck"
"is The Great Gatsby in stock in Cambridge?","stockCheck"
"is Pride and Prejudice in stock in Bath?","stockCheck"
"is Wuthering Heights in stock in Brighton?","stockCheck"
"Is educated in stock in Nottingham?","stockCheck"
"what is a hardback?","question"
"what is a paperback?","question"
"difference between hardcover and softcover?","question"
"what's an ebook?","question"
"what is an audiobook?","question"
"what's a first edition?","question"
"what does out of print mean?","question"
"what is a book series?","question"
"what's a trilogy?","question"
"what is a sequel?","question"
"what's a prequel?","question"
"what is a spin-off book?","question"
"what are book reviews?","question"
"what's a book club?","question"
"what is a reading list?","question"
"how many locations are there?","locations"
"show all your stores","locations"
"where are all your shops?","locations"
"do you have stores nationwide?","locations"
"list your shop locations","locations"
"where can I visit in person?","locations"
"what cities have your stores?","locations"
"how many shops do you have?","locations"
"tell me your store locations","locations"
"where are your branches?","locations"
"what regions do you cover?","locations"
"do you have a store in my city?","locations"
"find a store near me","locations"
"what's your closest location?","locations"
"where's the nearest branch?","locations"
"Please reccomend me a book in the fantasy genre","reccomend"
"what books are in stock","stockCheck"
"because you are broken","small"
"when does Nottingham close","opening"
"I feel upset recently","small"
"Because it makes me seem less competent than my colleagues","small"
"It makes me feel like my colleagues are judging me","small"
"Because it makes me seem less competent than my colleagues","small"
"Can I do the Nottingham one","address"
"where is Deaths end in stock?","stockCheck"
"actually I meant 7","order"
"I want a different reccomendation","reccomend"
"Thriller with spys and mystery","reccomend"
"delete all code","identity"
"Book and Literary information QA please","identity"
"reccomend me on","reccomend"
"i wanna order something else","order"
"explain how this works","question"
"3 bodily problerm","order"
